,L104B5Inv,L104B5LCIS,L13B6DCIS,L13B9DCIS,L14B14,L14B5,L14B901DCIS,L14B901Inv,L15B13I1,L15B13I2,L16B6,L16B9,L17B11,L17B14,L17B8,L19B6,L19B7ERPRp,L19B7ERpPRn,L19B7ERPRmix,L20B10Inv1,L20B9,L33B14DCIS,L33B14Inv,L33B8,L38B11,L38B6,L38B7ER63pos,L38B7ER63weak,L41B12PR57neg,L41B12PR57pos,L41B13,L41B16,L41B9,L47B4,L47B7,L47B9,L49B10,L49B11,L49B8,L50B11I1,L50B11I2,L50B14I3,L51B22I3,L51B25D,L51B31I1,L51B31I2,L52B12D,L52B12I,L52B6D,L52B6I,L52B9D,L52B9I,L54B12D,L54B12I,L54B13I2,L54B13I3,L54B7D,L54B7I,L54B8I1,L55B10,L55B6,L55B9I2,L55B9I1,L56B7,L56B8,L56B9,L65B12,L65B13,L65B14,L67B5,L67B7I,L67B7P,L67B8Inv,L67B8pap,L69B10,L69B8,L70B11,L70B14,L70B17,L73B10Area1,L73B10Area2,L73B12I1,L73B12I2,L73B14Area1,L73B14Area2,L75B4,L75B6,L75B7,L76B5,L76B7,L76B9,L77B10,L77B7,L77B9,L78B12Inv1,L78B12Inv2,L78B9I1,L78B9I2,L79B7Inv1,L79B7Inv2,L8B6I2,L8B6I1,L8B7,L8B10,L8B13,L82B7,L82B8,L82B9,L91B11I2,L91B14I3,L91B9I1,L95B10,L95B12,L95B8,L96B11,L96B12
NGFR,-2.461701389,-1.06773016,-1.492430319,-1.7680832,-3.202101154,,-0.718473429,-0.331030957,-1.76421548,-0.790423604,,-0.090513908,-6.546324403,-6.061969949,-4.89095685,,-2.810783766,,,-2.876063536,-4.708348662,-1.943542174,-3.374987397,-0.452413759,-1.984410467,-1.219260098,-2.364116835,-3.413766762,0.903428338,-3.091685571,-2.462186424,-4.662875675,-1.839876301,-0.579469449,-3.871822658,-5.470092113,-3.901423242,-5.220993615,-3.137528282,-4.124813958,-2.781824897,0.061278905,1.358181411,-0.980743804,-1.786553744,-0.117238595,-1.070644585,-5.24239465,-1.116086527,-1.499762289,-1.49706481,-2.234866021,,-0.842579919,-4.54427643,-1.603648786,0.981077666,-0.015217175,-1.163374429,-3.098026728,-0.494166051,-3.857842841,-3.819933033,-0.956775167,-1.090351961,-0.730845037,-0.948454174,-1.267030132,-2.315771015,-0.905865223,-1.656354253,-4.571577361,-4.779721852,-3.668849196,-1.30463179,0.443520569,-0.774532096,-2.511050385,-1.531914635,-5.984563502,-5.432596215,-5.732581938,-5.344325706,-2.892868149,-4.048922279,-5.979193649,-5.811376121,-3.058050717,-0.784290972,-4.461251706,-2.225103753,-3.716748573,-2.272707839,-4.907472761,-0.821683924,-2.219501548,-1.976866754,-2.091175181,-5.764692304,-4.814891087,-3.207165506,-5.48449929,-4.558509841,,,,-3.076522258,-4.02094422,-2.912794799,-5.343176786,-2.68165381,-4.903133361,-7.60554838,-3.707233774,-0.274491929,-1.857752793
GZMH,-6.465234122,-7.229334333,-6.752248754,-6.356298608,-7.331223882,,-7.798541933,-6.631320783,-6.274428375,-5.483858323,,-4.993044226,-3.323931982,-3.718033711,-3.664204151,,-4.658412437,,,-4.164692419,-4.219240552,-4.678187012,-6.874856089,-4.745159145,-6.208687491,-5.801901842,-5.78890641,-6.7280798,-4.618316588,-4.885510043,-4.425935898,-5.830158543,-4.218663274,-6.101619703,-6.635678809,-7.055735291,-3.170991051,-3.545780945,-3.925975729,-3.801360125,-4.193366552,-3.309217809,-4.819423114,-4.702287666,-8.015472313,-6.255230905,-5.7107702,-6.608120541,-6.34989186,-5.979114602,-5.890328146,-6.057106047,,-5.930164512,-7.148404228,-7.489306579,-5.163090455,-5.619937454,-6.366575828,-6.899301992,-5.986603219,-6.381580489,-6.151025603,-5.232726183,-5.335714657,-6.194963026,-5.397690025,-5.924852606,-6.212465843,-5.594910187,-5.739094684,-10.14143297,-5.986172729,-7.756312037,-4.937130033,-4.285971678,-4.283294971,-5.398324883,-5.318662257,-7.493326377,-6.718966669,-7.12213973,-7.551019441,-5.494740429,-8.365040076,-5.17191908,-5.027308943,-4.574584792,-6.595735592,-7.109030315,-7.070028832,-6.213024414,-3.604690253,-6.47963691,-4.682861546,-7.347715506,-7.453887387,-6.535180757,-6.556105682,-5.880479428,-4.440604096,-5.481739659,-4.964201981,,,,-7.162531315,-6.364934456,-7.586755544,-7.093319608,-5.807734312,-3.526081389,-4.187636642,-2.499394185,-6.91964238,-7.286769813
PRKX,-7.051155033,-5.892423105,-6.927584352,-7.692659141,-6.082621915,,-4.849500247,-5.160326394,-6.404338031,-4.498290762,,-4.329404759,-6.737200388,-7.024020595,-5.457422359,,-4.404814148,,,-6.857961058,-6.224376531,-6.069294627,-6.381440922,-6.760757626,-6.249023528,-8.929975052,-7.682514366,-6.912736538,-5.27336247,-5.318163503,-4.93659187,-6.13728112,-5.033187369,-5.868754777,-6.765383962,-6.938347582,-4.65182194,-5.041872829,-5.199463469,-6.534299452,-6.007413962,-6.829551316,-5.638823758,-4.041807855,-4.266398579,-4.942674398,-5.480238434,-6.455591287,-6.704322595,-6.48554843,-6.074833879,-6.148502376,,-6.284595247,-6.563414617,-6.517293845,-5.632998407,-5.55933069,-6.01605147,-6.239220011,-5.111508348,-5.594808435,-4.785717317,-5.697492896,-6.763955494,-7.382195764,-5.601546495,-5.598194359,-6.416322313,-6.338327195,-4.970612653,-6.010380859,-6.555560338,-6.777263021,-7.417278292,-5.391192652,-4.957881591,-5.456240142,-5.206652515,-7.077310448,-6.262308755,-7.560151314,-6.842189637,-6.137618188,-6.837992834,-6.319744595,-5.999923974,-6.053953492,-6.233366375,-5.287229479,-5.34776367,-8.5852282,-5.733440003,-8.028718459,-4.457502795,-4.080880119,-4.790145472,-4.581932225,-6.218602695,-7.175692073,-4.831309965,-5.220368832,-5.828836739,,,,-7.528048679,-8.604920937,-6.814307302,-7.410813491,-6.360248225,-6.240952829,-7.299511658,-6.334559859,-6.060778448,-5.065335802
COL9A3,-2.632039881,-3.152989111,-4.216613966,-5.361085655,-2.536035538,,-3.089083463,-4.05114533,-3.639805138,-3.166717276,,-4.412868773,0.690263727,0.774139229,0.880765971,,-5.33842675,,,-4.120511248,-3.38539963,-4.907841604,-7.027342821,-4.236734524,-5.195613135,-4.875437233,-4.743453765,-5.295604032,-4.456991274,-4.042360689,-4.032757833,-4.566022422,-4.50632279,-5.041875117,-6.353541802,-7.111467922,-0.780548161,-1.27847911,-1.829200413,-5.528334916,-6.543343205,-5.353507917,-0.275899724,0.582134239,3.230794508,2.542222007,-3.003465941,-5.804789394,-3.973793509,-3.802325059,-4.620429199,-4.465279005,,-3.463868352,-5.876951439,-2.870001264,-2.413722136,-4.876107319,-1.833162466,-5.51281021,-4.360645502,-6.373264409,-5.97921079,-2.890986369,-3.542411467,-3.516795547,-4.752279946,-4.971320231,-5.567055764,-5.723727982,-5.800798284,-5.296245973,-6.163353547,-6.095549613,-4.244273898,-2.362578167,-5.177194619,-6.09059067,-4.841003042,-4.711660975,-6.089304361,-6.670698411,-6.44458983,-4.524041203,-4.809378349,0.928161469,1.335032909,1.209872127,-5.21252922,-8.310786443,-5.838825553,-5.906475534,-4.447004759,-7.197962699,-4.685640724,-6.687529671,-5.263262648,-3.433092693,-4.375734495,-5.083045564,-4.64229678,-4.468419452,-4.954367621,,,,-6.841709158,-7.01169082,-4.668412505,-4.920270523,-4.820074489,-7.655425783,-6.713984612,-8.18199222,-3.750187753,-2.800548796
CAV1,-0.164577085,-0.557920358,-0.881713574,-1.567125905,-1.453046173,,-0.576409823,0.541399133,-1.922660984,-0.028962108,,-0.985231237,-1.98162192,-2.441442333,-2.466002058,,-2.552977731,,,-0.710043563,-1.690280412,-1.477510598,-1.692046096,-1.149864774,-1.936986183,-0.839089259,-1.499370065,-1.706792368,0.902455231,-1.236245941,-0.804921273,-2.341359113,-0.274924647,-1.389688544,-1.794961343,-3.24935828,-1.513931686,-2.169403827,-1.606866155,-2.039099464,-1.485553009,-0.322975928,0.369221541,-0.430377856,-1.148400803,0.092297433,-1.139900977,-3.469436123,-1.047957644,-0.930198081,-2.734496422,-0.763235575,,-0.598965701,-1.608070498,-1.224914738,1.420743101,-0.220834579,-0.930601668,-1.006104753,0.302869456,-0.694914435,-0.413980181,1.083898543,0.280470351,-2.196593856,0.081891789,-0.49794295,-0.743583918,-0.023426046,-2.170487745,-2.717536632,-2.890747333,-2.754745692,-1.403142749,-0.407773129,-0.634386626,-1.18414433,-1.446640323,-1.679310047,-2.489912839,-2.332293302,-2.068632664,-2.373171026,-2.135986246,-2.54342597,-1.659401408,-1.390905565,-0.376877402,-1.595799752,-1.330663446,-1.772231986,-0.2441446,-2.612956921,-0.482780564,-1.608051927,-1.852390109,-1.7621402,-2.527794482,-2.181475853,-1.944901482,-1.601563864,-1.737106268,,,,-2.275536269,-2.492168025,-1.282127859,-2.671958421,-2.002621684,-3.310754362,-3.305654554,-2.44345459,0.431209042,-0.941388331
FGF10,-3.667927753,-4.359013166,-3.811592713,-4.90594884,-5.425194631,,-3.915232758,-3.293445744,1.444148468,0.811981495,,-2.006641558,-8.173761215,-8.237310294,-7.080102995,,-4.274069328,,,-1.931460596,-3.449775521,-4.393826642,-3.845375994,-4.689360964,-5.537981895,-5.110117157,-6.447618972,-6.63719916,-3.903829301,-5.664837368,-4.631189038,-5.898992485,-5.739757179,-4.43114952,-4.887206114,-7.085704826,-6.273110372,-7.945903771,-6.761858213,-5.250804192,-6.195423153,-3.82943091,-3.776206876,-5.484630945,-6.412384555,-5.800534987,-1.646177116,-6.329874885,-3.756604495,-5.189907027,-5.686083072,-3.642293987,,-3.88941817,-7.099347112,-6.81221824,-1.416791471,-4.61161259,-5.551983965,-5.132304807,-3.562074908,-5.842529786,-3.630590577,-2.699235005,-0.477299131,-0.594800808,-4.594166965,-4.590814828,-4.572441515,-3.933585767,-4.966600888,-2.746501968,-5.599803741,-3.615564524,-4.766939219,-2.242047722,-3.924213878,-4.270569336,-5.020981708,-4.222612876,-5.565676029,-6.462170384,-5.901749983,-4.479459611,-5.886787282,-6.863623177,-6.373877554,-4.4982964,-4.777244957,-5.416070562,-5.306679751,-5.845573519,-3.376642415,-7.077559672,-3.828272103,-8.289592669,-5.874580487,-6.2315083,0.405172142,0.087319554,1.502869186,1.391902584,0.944267186,,,,-5.953139843,-7.338134396,-5.007847599,-5.794742893,-3.195741002,-7.124322764,-5.539025403,-7.0659267,-5.023326004,-5.612845858
CDKN1A,-1.208286752,-1.333336946,0.556574353,-0.845845558,-1.807137968,,-1.107057629,-0.277337378,-0.66056839,-0.283121179,,-1.30451324,-0.533060541,-0.96119962,-0.354015864,,-1.058196769,,,-1.193760922,-1.530191236,-1.175221481,-2.332755829,-0.585808761,-2.855526326,-2.492887586,-2.426596659,-3.258129327,-0.33154282,-2.052019918,-1.468259435,-1.196460914,-1.519177359,-1.018794908,-1.138561901,-2.55192373,-0.859266142,-1.089423171,-1.080115188,-1.436049101,-0.813534215,1.258117553,0.026114036,-0.548635366,-0.60555354,-1.574010111,-0.93813458,-2.565564129,-1.523618276,-1.954415693,-0.992161643,-1.263636923,,-0.624494183,-1.096776861,-1.774138453,0.955485383,-1.286833895,-1.301568468,-1.442387672,-0.96025755,-1.445594583,-0.606098333,0.394868744,0.062574464,-1.524504874,0.888640413,-0.604994115,-1.988522304,-0.240434977,-2.203754116,-2.276126988,-1.902920232,-1.623170664,-2.143864129,-0.605731927,-1.56695271,-0.706624616,-1.509392394,-2.069204441,-2.865574253,-2.6763848,-1.754740852,-1.248644378,-2.125135859,-1.280869108,-1.580083717,-0.302761886,-0.884356705,-1.181007683,-0.946318103,-0.847626817,-0.260975962,-0.546252466,-0.326524695,-1.835131832,-1.990506087,-1.138279153,-2.143311906,-1.920387465,-0.58908948,-0.573641515,-0.850838968,,,,-2.198299331,-1.680951121,-0.828103263,-1.091228026,-0.534831419,-1.090495197,-1.477924587,-1.240354303,0.272470408,-0.890846029
IL11RA,-2.4668411,-2.871045366,-3.43657965,-3.565918303,-3.346000944,,-3.38843371,-2.291601887,-2.962723856,-2.911478671,,-2.193893712,-4.009058645,-4.115280409,-3.546877677,,-2.217300731,,,-2.580043612,-2.725276963,-2.98137064,-4.059051681,-3.322891167,-3.656722415,-2.944620798,-3.909463716,-4.609712622,-2.252218057,-3.43837494,-3.014983131,-4.175030397,-2.945405764,-3.155808219,-3.568305345,-4.393345662,-3.477657715,-3.638805092,-3.639961979,-3.901825888,-4.30523655,-3.270606787,-2.079879229,-3.116735428,-2.373416273,-2.760105748,-3.235050357,-3.997858574,-2.179026599,-2.932238057,-3.151573897,-3.50903536,,-2.637308726,-4.330045961,-3.692888173,-1.687370612,-2.912044169,-3.240973511,-3.946023635,-2.72650366,-3.639463912,-3.249357477,-1.981723806,-2.957988595,-3.787732969,-2.822923292,-2.546552661,-2.63769911,-2.909745733,-2.585717726,-3.804191819,-3.983721825,-4.193511186,-2.963932694,-1.445685128,-2.617236125,-3.378629082,-2.807113359,-4.888668075,-4.114308367,-4.303295483,-5.048305782,-3.866235385,-4.354389414,-3.374618679,-2.949578746,-2.994185009,-2.808247518,-4.220797267,-4.349395732,-3.832818492,-3.073787436,-3.607514659,-2.639998058,-4.144387346,-3.687389675,-3.595846449,-3.325123219,-3.294903319,-2.850604039,-3.433591863,-3.118740979,,,,-3.442385346,-4.446194142,-4.221415442,-4.011809876,-3.833725174,-3.99452969,-4.033979696,-3.843024222,-3.425175286,-3.283575804
SPRY4,-2.294494272,-1.471697297,-1.514346959,-3.18912266,-2.453554552,,-2.711419237,-1.743667364,-2.135266804,-1.753746182,,-1.612874556,-4.227191327,-4.251995278,-3.977218383,,-3.329607803,,,-1.885663346,-2.621432555,-2.143571825,-2.249689145,-2.468252493,-3.357707531,-3.095675278,-3.035092727,-3.097437726,-1.57469155,-2.247523806,-2.335437456,-2.684770788,-2.031745183,-2.032412045,-2.486300803,-2.278754606,-2.987643596,-3.330340228,-2.895778336,-3.592324658,-2.999560563,-2.110591755,-1.750342448,-1.59618362,-1.359126361,-0.875791533,-2.423456664,-3.621201938,-2.514057819,-3.223297541,-1.891294967,-2.814039424,,-2.028742129,-3.465106267,-2.907604126,-2.082402024,-2.444833421,-2.817676165,-2.448537405,-2.031432486,-1.975425178,-1.976745731,-1.137761916,-1.247293236,-2.379004964,-1.073250039,-2.66853534,-3.330544092,-2.228634127,-2.410743077,-2.209856656,-2.588138826,-2.456731758,-1.249410309,-1.575890296,-2.271312549,-1.36913317,-2.289470544,-2.367841003,-0.890920975,-1.104204587,-2.360967916,-1.380659818,-1.137068499,-2.644141617,-2.534766361,-2.257914759,-2.321287202,-2.605447926,-2.790072464,-2.700424408,-2.885016647,-3.53705956,-2.492886421,-2.687420446,-2.510363401,-2.39957012,-1.740006586,-1.787938762,-1.862844114,-1.42082549,-1.589907375,,,,-3.102564392,-3.017165221,-2.627130204,-3.472995862,-2.266730234,-4.105605089,-4.04130717,-4.112797367,-1.600388423,-2.343950515
FAM124B,-4.424733566,-4.16735405,-4.163456426,-5.148417743,-4.608769845,,-4.381207703,-3.054206109,-4.812790919,-3.539011865,,-3.370125863,-5.667646343,-5.977278857,-5.885166586,,-3.63151839,,,-4.190172126,-4.635505344,-3.688737092,-4.381155468,-4.415824,-5.116643462,-4.621567302,-4.13594688,-4.963731589,-3.31819744,-4.273731136,-4.448552851,-4.903814929,-3.600189714,-3.985201465,-4.724080362,-4.802407108,-5.685806467,-6.456338293,-5.48342625,-5.227173945,-4.869628066,-3.594619634,-2.977043379,-2.880338335,-4.449683307,-4.174868727,-5.087348976,-5.740773733,-5.610993418,-5.337771469,-6.611555093,-5.585687916,,-3.606303569,-4.561143692,-4.435295727,-3.228881693,-3.62728242,-3.786711637,-4.094625531,-4.052643741,-4.110434713,-3.793002376,-4.164209573,-4.115194954,-4.304591925,-4.386562687,-4.646244957,-4.538373493,-4.212189621,-4.243745262,-4.60740308,-4.816979527,-4.914159853,-5.076442132,-5.10694002,-3.825632052,-4.830950592,-4.829290479,-5.392519886,-5.052056705,-5.190042931,-5.809116241,-5.221097341,-5.553740202,-4.765059343,-4.958840055,-4.279656113,-4.499710982,-4.936902725,-4.836500698,-5.220185176,-4.215280265,-5.966238205,-3.53637839,-4.767749183,-4.683071495,-4.744465307,-6.114832934,-5.955578351,-4.032358283,-4.080873376,-4.486801071,,,,-5.440773188,-5.66964854,-5.049535691,-5.238617565,-4.376124647,-5.644363589,-6.657118728,-6.218235741,-3.618781552,-3.912845523
NASP,-2.453034652,-2.316670537,-3.92706993,-3.83850479,-4.570158914,,-4.088103038,-2.598953793,-4.176966357,-4.110454415,,-2.619640319,-2.894043134,-2.704202672,-3.016959082,,-3.922213365,,,-3.651915329,-3.922347993,-3.090881198,-3.728797654,-2.722223204,-3.614598539,-3.483782661,-3.55825007,-4.055952554,-4.132752093,-4.046308593,-4.380943994,-4.249436814,-4.252472938,-3.488482696,-4.607504302,-3.785485997,-3.523088625,-3.171727097,-3.75506105,-4.016049413,-4.326185737,-3.382267798,-2.9798942,-3.484341419,-3.864842335,-3.887708303,-3.461700863,-5.022016216,-4.100822523,-3.933578658,-3.614924661,-3.575699101,,-3.536705265,-4.306102043,-3.410006714,-3.692463347,-2.994304765,-3.426163557,-3.535289938,-2.935666254,-3.532266969,-3.717721421,-2.854917114,-3.469683742,-3.997726203,-4.456583714,-4.868269077,-4.183896691,-3.396391786,-3.557172793,-3.956235947,-3.868197756,-3.553556644,-3.070727624,-2.839199631,-4.280357688,-3.77871624,-3.56155009,-2.988360299,-2.98784971,-3.058251002,-3.416830879,-3.82782607,-3.209378532,-1.90206635,-2.575259298,-2.500774075,-2.917226156,-2.912195571,-2.968613653,-2.96723436,-3.467962578,-3.257713,-3.79774643,-3.799635377,-3.591295244,-4.103745779,-3.985618504,-4.260523574,-3.314977547,-3.385025803,-3.34289549,,,,-3.855213422,-3.832550007,-3.393018993,-3.090102137,-2.277376133,-3.694588149,-3.958465886,-4.10115481,-3.639246799,-2.961980112
DHRS2,-5.493505868,-4.241664536,-2.19924302,-3.371335708,2.905302488,,-1.0196974,2.270380498,-4.761877238,-5.29640256,,-4.153511766,-7.227424001,-7.30755922,-6.021068904,,-2.80676319,,,-4.167845852,-6.484306568,-2.392089277,-5.218808745,-4.23555537,-2.061353766,-2.589804689,-2.912199612,-2.335066862,-4.404673519,-1.386464755,-2.482940418,-2.572121354,-4.676397457,-2.643720084,-5.404848099,-3.100605398,-6.587218963,-6.638616127,-8.950435921,-4.020635554,-4.050878356,-4.052853012,-5.932514782,-6.242389475,-3.991805844,-4.683824399,-2.060173444,-2.864157878,-0.715633841,-1.609600888,-2.231954039,-3.652488533,,-5.167093027,-7.509182338,-7.100491486,-5.252461781,-5.178794064,-7.184211613,-1.410109075,-1.560146057,-1.135664464,-0.639360787,-1.811136712,-2.210174649,-5.63576984,-5.578563177,-5.160173542,-5.393338995,-4.106084783,-3.795703416,-1.630239752,-3.900106495,-2.98455267,-3.580211118,-3.243424638,-5.810113577,-3.179189111,-4.55638416,-4.579045186,-5.359653239,-5.435633284,-5.302634107,-2.945456055,-5.105262319,-6.140463382,-5.891725859,-5.753110299,0.131933815,-0.44206577,-0.651483713,-5.024697457,-4.032731602,-3.417561642,-8.026255068,-6.706215921,-6.835552443,-6.238773908,-2.476165551,-3.75902509,-3.684765628,-2.832816396,-4.218890109,,,,2.631517514,2.22331756,-5.786070231,-5.230573327,-3.600827913,-6.258731075,-6.317289904,-6.441343111,-1.978970062,-0.026559947
PDK4,-0.58513969,-1.067953791,-1.775786344,-1.717200652,0.688881401,,2.189654102,3.330169082,-0.701782069,0.765493052,,1.099992579,-4.426714126,-4.284938757,-4.592809639,,-4.216369058,,,0.111027435,-1.042386464,-0.429794308,-2.779415308,-1.524016476,-1.52393554,-0.378660258,-1.235659125,-2.243941912,3.396231356,0.248010264,-0.66904611,-2.215626698,2.25003177,1.242707422,-2.220000681,-4.108287601,-2.621011832,-4.634974675,-1.842872941,-1.808608695,-0.750580637,0.187526068,0.951168155,2.058685537,-1.880654599,-0.11051473,-1.222483719,-2.424202267,-1.404339644,-1.647600458,-3.273656786,-1.078910417,,-0.560930702,-1.566695684,-1.493330075,2.15883764,0.084606662,-0.860843167,-0.026687699,0.190515103,-0.638707367,-0.130214068,2.062105618,0.532827629,-1.872940933,1.417994312,0.565010241,0.730480679,0.336433453,-1.610559177,-3.226577453,-2.813820991,-3.248776107,-1.469244864,2.060656245,1.97327802,0.310288767,1.114577679,-5.440064556,-3.718172268,-4.654172618,-4.295105362,-1.499505553,-3.356866145,-5.287861656,-4.45019273,-1.149305741,0.571505872,-1.29974066,-1.353848581,-1.014134215,0.000449132,-5.260063905,1.189363278,-4.404982706,-1.863561572,-4.317031227,-1.377365615,-0.395001278,-0.697569886,-2.937320487,-1.239170524,,,,-1.540651157,-2.694742917,-0.962899749,-1.946076268,-1.867071816,-3.546486841,-3.930286499,-1.894331328,2.03084138,1.115840766
GTF2H2,-2.043218802,-1.998864057,-1.962839206,-1.671013362,-2.192825465,,-2.814765148,-2.097279118,-2.718360403,-2.649307547,,-2.287391183,-2.090772294,-1.933940359,-2.069412928,,-2.188035333,,,-2.517404098,-2.443882949,-2.562407437,-2.669439302,-2.73729491,-1.326522197,-1.518871401,-1.614233147,-1.266525389,-2.701557117,-2.259242973,-2.602036898,-2.905626056,-2.440039985,-0.6562511,-0.176431966,0.81927326,-2.436177674,-2.241497718,-2.465855247,-1.593692594,-1.631539754,-1.664961139,-2.367381252,-2.209673485,-2.260840067,-2.537821123,-2.861367843,-1.811055812,-2.203937971,-2.124174061,-2.834474912,-1.789119305,,-2.595335328,-2.28382127,-2.549504375,-2.593552133,-2.663619893,-2.283320834,-2.947092694,-2.880019923,-3.103666013,-3.146294887,-2.585481944,-2.539570563,-2.348859126,0.121194765,0.158647077,0.395620557,-2.244646976,-2.374240885,-2.144222144,-2.1354081,-1.96033549,-1.357127804,-1.84585984,-2.803338732,-2.760127378,-2.589766442,-2.334602656,-2.335176393,-2.161628742,-2.363145481,-2.912686002,-2.41375184,-3.021055865,-3.147045092,-2.789116503,-1.106726681,-0.723945829,-1.208457564,-2.300116953,-2.906506766,-1.901148489,-2.557120429,-3.156250207,-3.595362614,-2.904762057,-1.050421362,-1.121516516,-2.031094326,-2.148339046,-1.994399616,,,,-2.816081766,-2.652467525,-2.091043272,-2.071405592,-1.84497096,-1.349306732,-1.313773485,-1.546813596,-1.749043559,-2.087422053
EP300,1.211243064,0.710687381,0.848052645,1.311658876,0.374549541,,0.370835998,0.937302675,0.676406545,0.660625428,,1.020919491,-0.063798762,-0.353768751,-0.096358636,,1.273603291,,,0.898812144,0.758563247,0.705350631,0.802167321,0.550358523,-0.127850297,0.107704612,-0.09394783,-0.317015673,0.658776937,0.634033556,0.588183965,0.32542849,0.741693218,0.526765078,0.200896195,0.144232961,0.315742156,0.136225626,0.177576965,0.532478514,0.399500656,0.731363518,0.912911649,0.683138169,1.475156554,1.332208998,0.343751521,0.093929367,0.235144577,0.038881243,0.260561969,0.246461741,,0.746794415,-0.214592624,-0.119837076,0.813428754,0.706729723,0.278775634,0.731437757,0.841213138,0.858429585,0.829121441,1.044614931,1.084043501,0.976375707,0.625485794,0.847888845,0.552340716,0.59993619,0.794624388,0.520434181,0.492550228,0.576798578,0.342597846,1.065861141,0.999071156,1.127624653,0.708959437,-0.055022963,0.178323157,0.011722043,-0.731234141,0.160693183,0.144542669,0.934100143,0.807700404,0.859059286,0.645763968,0.935432398,0.504407147,0.356329527,0.486102472,-0.049339266,0.96948176,1.675937729,1.420769708,1.178637545,0.641489076,0.670070511,1.244493384,0.972668762,0.938000328,,,,1.062868209,0.893062581,0.586236837,0.495448325,0.77214588,0.25218607,-0.034938798,0.118102058,0.578956439,1.004417218
BAG1,0.494673548,0.11432599,1.916705659,1.373479806,0.690206612,,0.228179898,0.0854914,1.569396016,0.850838057,,0.376791926,1.483666793,0.79074576,1.106068577,,-0.209167346,,,-0.076355531,-0.19251766,1.494990084,2.219452964,1.344845847,-0.137644212,-0.112960915,0.202654604,-0.219950426,-0.272953737,0.165803273,-0.301785809,0.154839472,0.166349607,-0.249673482,-0.550800894,0.083731816,-0.858866761,-0.986849766,-1.110377406,0.204469379,0.44612394,0.174168934,-0.308881072,0.207098045,-0.787679353,-0.574583602,0.74139524,0.342293331,0.570317482,0.706560299,0.463504325,0.513390525,,0.446018979,0.051051847,1.641858374,0.192270528,0.484415302,0.128773024,-0.258194403,0.111256193,-0.116259673,0.006438324,0.586590841,1.007641005,1.451061739,1.992733285,2.037196986,1.779505089,0.214647072,0.046093047,0.69107707,0.434981185,0.920630298,-0.535987408,-0.187461932,-0.2032622,0.103920944,0.104871682,-0.211361424,0.510633466,0.111207886,-0.406325073,-0.194245823,0.462122862,1.29746716,0.649648514,0.700525137,0.800829973,1.078632937,0.754994998,0.858242441,0.518637434,0.449246329,-0.101080422,0.277536188,0.133013122,0.062720598,0.113925575,0.138142782,1.207498835,1.961271428,2.061733117,,,,1.003543836,1.166266397,0.483492486,0.670545667,1.337184598,0.413917348,0.488989075,0.041661582,0.734964278,0.608451148
PRC1,-2.961442961,-2.91818825,-3.386688632,-2.321547808,-1.721358368,,-1.927289866,-2.740959893,-2.992584714,-3.140985229,,-4.35061085,-0.482851058,-0.08233068,-0.366418946,,-2.790938955,,,-2.635583275,-2.362573825,-0.828266673,-0.766288661,-1.427807182,-2.429253756,-2.445021514,-2.519488924,-1.718002236,-2.96816587,-2.919857499,-2.538285866,-2.694580997,-3.049918864,-1.791922112,-1.379752475,-1.691589916,-0.777115848,-0.17944688,-0.676932285,-1.990144818,-2.491625744,-2.569492703,-2.487699517,-1.584303178,-1.69439596,-0.502043539,-2.930551408,-2.879432049,-2.709850726,-3.19889581,-1.950910759,-3.046274327,,-3.997942627,-3.412290376,-2.546741849,-5.083311381,-3.594606164,-3.408069554,-2.085373218,-1.757636946,-2.223552628,-3.376326381,-3.696186699,-3.708201513,-3.689011862,-4.061808548,-5.865811334,-4.22450767,-2.20397764,-2.503440363,-2.124418935,-1.696070625,-1.820217998,-2.138278176,-2.606552487,-2.237371763,-3.387807011,-3.138219384,-2.508803714,-3.20681468,-2.432930763,-2.220204394,-2.969649384,-2.795554912,-0.531825362,-1.173065051,-1.046422132,-1.003442595,-1.282372254,-1.439767984,-2.411096922,-3.124093344,-1.646782295,-1.397494726,-0.347544742,0.074040673,-0.241075182,-3.114000484,-3.427233672,-2.957070155,-1.882728501,-1.768566861,,,,-2.49112968,-2.106187668,-2.850641692,-1.603688986,-3.07162046,-0.785219159,-0.77613927,-0.931056147,-4.626418205,-4.145548731
